"mppcv";"hyr_";"hyrcv";"ogc";"mpcv";"ouc";"mppnm";"VolgNr";"GalCV";"spef";"cq";"cu";"cfq";"cfu";"aq";"au";"afq";"afu";"atype";"cmucomb";"law";"ssecr";"pupr";"use";"note";"pos";"Content_";"GalNm_";"Index";"RemA";"RemW";"InnCnk";"VosNm_";"BT";"gdkp";"Excip";"Cheapest";"SpecRules";"Narcotic";"Amb";"Hosp"
"1591163";"TCA";"0018671";;"38794-2949";"U";"2Lebv glob. subling. 30x1dos.";;"00097";;30;"x";"1.0";"dos.";;;0.0000;;;;"R";;45.4400;;;;;"glob. subling.";151.4700;45.4400;45.4400;"38976";"homéopathie groupe 2Lebv sublingual [NOVOS: médicament homéopathique]";false;false;;false;false;false;true;false
"1591254";"TCA";"0018671";;"39198-2949";"U";"2Lherp glob. subling. 30x1dos.";;"00097";;30;"x";"1.0";"dos.";;;0.0000;;;;"R";;45.4400;;;;;"glob. subling.";151.4700;45.4400;45.4400;"39271";"homéopathie groupe 2Lherp sublingual [NOVOS: médicament homéopathique]";false;false;;false;false;false;true;false
"1591296";"TCA";"0018671";;"38133-2949";"U";"2Lpapi glob. subling. 30x1dos.";;"00097";;30;"x";"1.0";"dos.";;;0.0000;;;;"R";;45.4400;;;;;"glob. subling.";151.4700;45.4400;45.4400;"38273";"homéopathie groupe 2Lpapi sublingual [NOVOS: médicament homéopathique]";false;false;;false;false;false;true;false
"1591338";"TCA";"0018671";;"38125-2949";"U";"2Lveru glob. subling. 30x1dos.";;"00097";;30;"x";"1.0";"dos.";;;0.0000;;;;;;45.4400;;;;;"glob. subling.";151.4700;45.4400;45.4400;"38257";"homéopathie groupe 2Lveru sublingual [NOVOS: médicament homéopathique]";false;false;;false;false;false;true;false
"3595600";"TCA";"0018671";;"38125-2949";"U";"2Lveru glob. subling. Junior 30x1dos.";;"00098";;30;"x";"1.0";"dos.";;;0.0000;;;;"R";;45.4400;;;;;"glob. subling. Junior";151.4700;45.4400;45.4400;"38265";"homéopathie groupe 2Lveru sublingual junior [NOVOS: médicament homéopathique]";false;false;;false;false;false;true;false
"4102968";"EEDA";"0004945";"B";"42-232";"O";"Aacidexam sol. inj./instill. i.m./i.v./i.artic./i.burs./rect. [amp.] 10x 5mg/1ml";;"00336";;10;"x";;;;;0.0000;;;;"R";"b";24.6900;;;;;"sol. inj./instill. i.m./i.v./i.artic./i.burs./rect. [amp.]";64.7000;6.4700;3.8500;"8755";"dexaméthasone injection/instillation/rectal 5 mg / 1 ml";false;false;;true;false;false;true;false
"0860932";"FCACA";"0005637";;"59-232";"O";"Aacifemine ovule 15x 0,5mg";;"00162";;15;"x";;;;;0.0000;;;;"R";;9.3700;;;"1 ovule ou 1 application 1x/jour pendant les premières semaines (max. 4 semaines)
Traitement d’entretien: 1 ovule ou 1 application 2x/semaine";;"ovule";62.4700;9.3700;9.3700;"11460";"estriol vaginal 0,5 mg";false;false;;false;false;false;true;false
"0016188";"FCAAA";"0005595";"B";"59-232";"O";"Aacifemine compr. (séc.) 30x 2mg";;"00020";;30;"x";;;;;0.0000;;;;"R";"b";9.7600;;;"1 à 8 mg/jour en 1 prise";;"compr. (séc. non quantit.)";6.6700;2.0000;1.0000;"11486";"estriol oral 2 mg";false;false;;true;false;false;true;false
"0860924";"FCACA";"0005637";;"59-232";"O";"Aacifemine crème vag. 15g 1mg/1g";;"00127";;1;"x";"15.0";"g";;;0.0000;;;;"R";;10.5600;;"+ 1 applic.";"1 ovule ou 1 application 1x/jour pendant les premières semaines (max. 4 semaines)
Traitement d’entretien: 1 ovule ou 1 application 2x/semaine";;"crème vag.";70.4000;10.5600;10.5600;"11478";"estriol vaginal 1 mg / 1 g";false;false;;false;false;false;true;false
"4247763";"KDCABE";"0020198";"G";"43679-1289";"U";"Abacavir/Lamivudine Viatris 600/300 compr. pellic. 30x (UD)";;"00003";;30;"x";;;;;0.0000;;;;"R";"a4";144.8600;;;;;"compr. pellic.";6.6700;2.0000;1.0000;"67";"abacavir + lamivudine oral 600 mg + 300 mg";false;true;;true;false;false;true;false
"4522744";"MBAA";"0013201";;"46656-4309";"O";"Abevmy 25 mg/1 ml sol. perf. à diluer i.v. [flac.] 1x 100mg/4ml";;"00009";;1;"x";;;;;0.0000;;;;;;0.0000;"H";;;;"sol. perf. à diluer i.v. [flac.]";0.0000;0.0000;0.0000;"3632";"bévacizumab perfusion 100 mg / 4 ml [NOVOS: biologique]";false;false;;false;false;false;true;false
"4522751";"MBAA";"0013201";;"46656-4309";"O";"Abevmy 25 mg/1 ml sol. perf. à diluer i.v. [flac.] 1x 400mg/16ml";;"00009";;1;"x";;;;;0.0000;;;;;;0.0000;"H";;;;"sol. perf. à diluer i.v. [flac.]";0.0000;0.0000;0.0000;"3640";"bévacizumab perfusion 400 mg / 16 ml [NOVOS: biologique]";false;false;;false;false;false;true;false
"4165536";"JBDA";"0007922";"G";"75-3269";"O";"Abilify (Abacus) compr. 28x 10mg (UD)";;"00008";;28;"x";;;;;0.0000;;;;"R";"b";56.3200;;"distribution parallèle";;;"compr.";45.7100;12.8000;8.2600;"2147";"aripiprazole oral 10 mg";false;true;;true;false;false;true;false
"4904702";"JBDA";"0007922";"G";"75-3269";"O";"Abilify (Abacus) compr. 28x 15mg (UD)";;"00008";;28;"x";;;;;0.0000;;;;"R";"b";56.3200;;"distribution parallèle";;;"compr.";45.7100;12.8000;8.2600;"2154";"aripiprazole oral 15 mg";false;true;;true;false;false;true;false
"4753158";"JBDA";"0007922";"G";"75-3269";"O";"Abilify (Abacus) compr. 28x 30mg (UD)";;"00008";;28;"x";;;;;0.0000;;;;"R";"b";64.6000;;"distribution parallèle";;;"compr.";45.7100;12.8000;8.5000;"2170";"aripiprazole oral 30 mg";false;true;;true;false;false;true;false
"4165726";"JBDA";"0007922";"G";"75-3269";"O";"Abilify (Abacus) compr. 98x 10mg (UD)";;"00008";;98;"x";;;;;0.0000;;;;"R";"b";140.5900;;"distribution parallèle";;;"compr.";16.2200;15.9000;10.5000;"2147";"aripiprazole oral 10 mg";false;true;;true;false;false;true;false
"4178901";"JBDA";"0007922";"G";"75-3269";"O";"Abilify (Abacus) compr. 98x 15mg (UD)";;"00008";;98;"x";;;;;0.0000;;;;"R";"b";140.5900;;"distribution parallèle";;;"compr.";16.2200;15.9000;10.5000;"2154";"aripiprazole oral 15 mg";false;true;;true;false;false;true;false
"2567576";"JBDA";"0007922";"B";"75-2501";"O";"Abilify sol. inj. i.m. [flac.] 1x 9,75mg/1,3ml";;"00036";;1;"x";;;;;0.0000;;;;"R";"b";8.4500;;;;;"sol. inj. i.m. [flac.]";200.0000;2.0000;1.0000;"2188";"aripiprazole injection 9,75 mg / 1,3 ml";false;false;;true;false;false;true;false
"4969077";"JBDA";"0007922";"B";"75-1073";"O";"Abilify susp. inj. lib. prol. i.m. [ser. préremplie] 1x 960mg/3,2ml";;"00046";;1;"x";;;;;0.0000;;;;"R";"b4";380.0600;;;;;"susp. inj. lib. prol. i.m. [ser. préremplie]";1280.0000;12.8000;8.5000;"50062";"aripiprazole injection (libér. modifiée) 960 mg / 3,2 ml";false;false;;true;false;false;true;false
"3154887";"JBDA";"0007922";"B";"75-1073";"O";"Abilify susp. inj. lib. prol. (pdr+solv.) i.m. Maintena [2x flac.] 1x 400mg";;"00779";;1;"x";;;;;2.0000;"ml";"s";;"R";"b4";195.5200;;;;;"susp. inj. lib. prol. (pdr + solv.) i.m. Maintena [2x flac.]";1280.0000;12.8000;8.5000;"33662";"aripiprazole injection (libér. modifiée) 400 mg";false;false;;true;false;false;true;false
"3060001";"JBDA";"0007922";;"75-2501";"O";"Abilify sol. 150ml 1mg/1ml";;"00123";;1;"x";"150.0";"ml";;;0.0000;;;;"R";;99.2500;;;;;"sol.";66.1700;99.2500;99.2500;"2162";"aripiprazole oral 1 mg / 1 ml";false;false;;false;false;false;true;false
"4201737";"JBDA";"0007922";"G";"75-3418";"O";"Abilify (Orifarm Belgium) compr. 28x 10mg (UD)";;"00008";;28;"x";;;;;0.0000;;;;"R";"b";56.3200;;"distribution parallèle";;;"compr.";45.7100;12.8000;8.2600;"2147";"aripiprazole oral 10 mg";false;true;;true;false;false;true;false
"4201745";"JBDA";"0007922";"G";"75-3418";"O";"Abilify (Orifarm Belgium) compr. 98x 10mg (UD)";;"00008";;98;"x";;;;;0.0000;;;;"R";"b";140.5900;;"distribution parallèle";;;"compr.";16.2200;15.9000;10.5000;"2147";"aripiprazole oral 10 mg";false;true;;true;false;false;true;false
"4272100";"JBDA";"0007922";"G";"75-3418";"O";"Abilify (Orifarm Belgium) compr. 98x 15mg (UD)";;"00008";;98;"x";;;;;0.0000;;;;"R";"b";140.5900;;"distribution parallèle";;;"compr.";16.2200;15.9000;10.5000;"2154";"aripiprazole oral 15 mg";false;true;;true;false;false;true;false
"3534807";"JBDA";"0007922";"G";"75-1529";"O";"Abilify (PI-Pharma) compr. 28x 10mg (UD)";;"00008";;28;"x";;;;;0.0000;;;;"R";"b";56.3200;;"distribution parallèle";;;"compr.";45.7100;12.8000;8.2600;"2147";"aripiprazole oral 10 mg";false;true;;true;false;false;true;false
"3534948";"JBDA";"0007922";"G";"75-1529";"O";"Abilify (PI-Pharma) compr. 28x 15mg (UD)";;"00008";;28;"x";;;;;0.0000;;;;"R";"b";56.3200;;"distribution parallèle";;;"compr.";45.7100;12.8000;8.2600;"2154";"aripiprazole oral 15 mg";false;true;;true;false;false;true;false
"3573573";"JBDA";"0007922";"G";"75-1529";"O";"Abilify (PI-Pharma) compr. 28x 30mg (UD)";;"00008";;28;"x";;;;;0.0000;;;;"R";"b";64.6000;;"distribution parallèle";;;"compr.";45.7100;12.8000;8.5000;"2170";"aripiprazole oral 30 mg";false;true;;true;false;false;true;false
"3573557";"JBDA";"0007922";"G";"75-1529";"O";"Abilify (PI-Pharma) compr. 98x 10mg (UD)";;"00008";;98;"x";;;;;0.0000;;;;"R";"b";140.5900;;"distribution parallèle";;;"compr.";16.2200;15.9000;10.5000;"2147";"aripiprazole oral 10 mg";false;true;;true;false;false;true;false
"3573565";"JBDA";"0007922";"G";"75-1529";"O";"Abilify (PI-Pharma) compr. 98x 15mg (UD)";;"00008";;98;"x";;;;;0.0000;;;;"R";"b";140.5900;;"distribution parallèle";;;"compr.";16.2200;15.9000;10.5000;"2154";"aripiprazole oral 15 mg";false;true;;true;false;false;true;false
"2237220";"JBDA";"0007922";"G";"75-2501";"O";"Abilify compr. 28x 10mg (UD)";;"00008";;28;"x";;;;;0.0000;;;;"R";"b";56.3200;;;;;"compr.";45.7100;12.8000;8.2600;"2147";"aripiprazole oral 10 mg";false;true;;true;false;false;true;false
"2237238";"JBDA";"0007922";"G";"75-2501";"O";"Abilify compr. 28x 15mg (UD)";;"00008";;28;"x";;;;;0.0000;;;;"R";"b";56.3200;;;;;"compr.";45.7100;12.8000;8.2600;"2154";"aripiprazole oral 15 mg";false;true;;true;false;false;true;false
"2237246";"JBDA";"0007922";"G";"75-2501";"O";"Abilify compr. 28x 30mg (UD)";;"00008";;28;"x";;;;;0.0000;;;;"R";"b";64.6000;;;;;"compr.";45.7100;12.8000;8.5000;"2170";"aripiprazole oral 30 mg";false;true;;true;false;false;true;false
"3255684";"JBDA";"0007922";"G";"75-2501";"O";"Abilify compr. 98x 10mg (UD)";;"00008";;98;"x";;;;;0.0000;;;;"R";"b";140.5900;;;;;"compr.";16.2200;15.9000;10.5000;"2147";"aripiprazole oral 10 mg";false;true;;true;false;false;true;false
